,Year,Duration_Minutes,Themes,Genres,Title,English,Rating,Source,Synopsis,Episodes,Premiered
4143,2015.0,24.0,Historical  Samurai,Action,Sengoku Musou,Unknown,pg    teens  or older,Game,toyotomi hideyoshi is on the verge of unifying the realm  and all that remains is the odawara castle protected by the  lion of sagami  ujiyasu houjou  hideyoshi s personally trained generals ishida mitsunari  katou kiyomasa  and fukushima masanori as well as ootani yoshitsugu  shima sakon  and naoe kanetsugu are all on the frontline of the battle  amidst the battle formation are the two young warriors of the sanada household  older brother nobuyuki and younger brother yukimura  as the stalemate begins to break down  sanada yukimura rides on a lone horse into the fray  his brother follows him right after     source  ann,12.0,Winter 2015
7418,2022.0,23.0,Historical  Samurai,Action,Sabiiro no Armor  Reimei,Rusted Armors,pg    teens  or older,Mixed media,the era is a turbulent warring states period in hinomoto  kinokuni  the unexplored region of the mountains and the sea  in the depths of this deep forest  there is a group using  yatagarasu  as their flag symbol and using guns as weapons  their name is  saikashu   it is  magoichi  who arrived from a foreign country that inherited the name as the head of saikashu  on the other hand   saburo  quickly senses the signs of aggression from the european powers and struggles to protect hinomoto    the fate of the two who would not meet originally will be crossed by the fight against the invaders who came from a foreign country       source  ytv,12.0,Winter 2022
5376,2019.0,24.0,Historical  Samurai,Action,Bakumatsu  Crisis,Unknown,pg    teens  or older,Game,the bakumatsu was an era in which the souls of young men burned with anxiety for their country s future  takasugi shinsaku  a soldier of fortune from choshu  sneaks aboard a government ship with his comrade katsura kogorou in search of a mysterious  timepiece  with the power to manipulate time that he fears the government wishes to keep for themselves  rather than allow such power to fall into the wrong hands  takasugi plans to destroy the artifact  but having obtained it  the artifact is quickly stolen  forcing the pair to follow the mysterious thief to the seat of government in kyoto  however  when they arrive in the capital  they discover that the government has been overthrown and the deity susanoo now reigns in its place  the streets of the city and the people in them are much different than takasugi and katsura remembered  the times may have changed but their mission hasn t   takasugi and katsura resolve to reset time and save their nation from the nefarious forces trying to hijack it     source  tokyo otaku mode,12.0,Spring 2019
6651,2015.0,23.0,Idols  Female   Music,Action,Venus Project  Climax,Venus Project Climax,pg    teens  or older,Game,in the near future  japan has developed sophisticated digital and image technology  people are enthusiastic for a new type of entertainment called  formula venus   abbreviated as  f v   it is a sorted live battle of the top idol performances based on the idols  power  techniques  and developed experience  the story is about the drama that happens among the girls in venus project as they aim for the top by concentrating on difficult battles  passion  and friendship     source  mal news,6.0,Summer 2015
175,2017.0,24.0,Isekai  Military  Reincarnation,Action,Youjo Senki,Saga of Tanya the Evil,r      violence   profanity,Light novel,tanya degurechaff is a young soldier infamous for predatorial like ruthlessness and an uncanny  tactical aptitude  earning her the nickname of the  devil of the rhine   underneath her innocuous appearance  however  lies the soul of a man who challenged being x  the self proclaimed god  to a battle of wits which resulted in him being reincarnated as a little girl into a world of magical warfare  hellbent on defiance  tanya resolves to ascend the ranks of her country s military as it slowly plunges into world war  with only being x proving to be the strongest obstacle in recreating the peaceful life she once knew  but her perceptive actions and combat initiative have an unintended side effect  propelling the mighty empire into becoming one of the most powerful nations in mankind s history     written by mal rewrite,12.0,Winter 2017
2178,2022.0,24.0,Love Polygon  School  Strategy Game,Action,RWBY  Hyousetsu Teikoku,RWBY Ice Queendom,pg    teens  or older,Other,since ancient times  the world of remnant has been under constant threat by the grimm  creatures of nightmare obsessed with destroying both humans and the half human faunus  to protect themselves  the four kingdoms of the world established academies that train young people to become huntsmen  warriors tasked with destroying grimm    in the kingdom of vale  the cheerful   year old ruby rose has always dreamed of a life at the prestigious beacon academy  sadly  being too young  she can only watch as her elder sister  yang xiao long  sets off for the academy alone  but everything changes when ruby fights off a group of armed robbers  and the news of her skillful exploit reaches beacon s headmaster  professor ozpin    ruby is over the moon when she receives an invitation to join the academy alongside her sister  meanwhile  halfway across the world in the kingdom of atlas  corporate heiress weiss schnee defies her father s wish and sets off for beacon  her heart brimming with anxious resolve  at the same time  lonesome rogue blake belladonna abandons her vigilante group in hopes of finding a better life at the academy  when their paths converge  the meeting between the four girls is anything but friendly  with vastly different personalities and beliefs  they often end up clashing  however  when they work together  team rwby begins to create ripples across beacon  the likes of which have never been seen before     written by mal rewrite,12.0,Summer 2022
11579,2013.0,27.0,Mahou Shoujo  Psychological,Action,Kara The Animation,Unknown,pg    teens  or older,Unknown,the fictional stories will feature each of the members in a different career  gyuri as a police officer  seungyeon as an astronaut  nicole as a passenger boat captain  hara as security police for the monaco royal family and jiyoung as a sexy and spirited firefighter     source  ann,5.0,Winter 2013
13734,2013.0,24.0,Martial Arts  School  Super Power,Action,Zhandou Wang Zhi Jufeng Zhan Hun,Infinity Nado 2,pg   children,Original,unknown,40.0,Fall 2013
5195,2001.0,24.0,Martial Arts  Super Power,Action,Project ARMS,Project ARMS,r      violence   profanity,Manga,a boy gets involved in an accident when in kindergarten  horribly damaging his arm  but the doctors somehow manage to save it  now  several years later  his arm seems to be becoming the focus of strange events as it turns out to be more than a normal arm  meanwhile  a secret organization is out to get hold of him and the power he possess,26.0,Spring 2001
1605,2009.0,23.0,Martial Arts  Super Power,Action,Kurokami The Animation,Kurokami The Animation,r      violence   profanity,Manga,high school student ibuki keita has been haunted by misfortune for as long as he can remember  for no apparent reason  everyone around him dies tragically  ultimately  he refuses to become too close to anyone  even his childhood friend akane  this leaves keita alone in a life full of misery and disgrace    while eating at his favorite ramen shop one evening  keita meets a strange young girl named kuro  possessing abilities that surpass that of a normal human being  kuro classifies herself as a mototsumitama  she explains to keita about  terra   a life energy force split between three identical looking people  a global phenomenon dubbed the  doppeliner system   as a mototsumitama  kuro guards the  coexistence equilibrium   the beings that protect the flow of terra around the world  keita refuses to believe her story  until he is caught up in the crossfire of this hidden world  on the verge of death  he makes a contract with kuro  unbeknownst to its true meaning  now he is bound to kuro  and must be with her at all times  could keita s misfortune possibly get any greater     written by mal rewrite,23.0,Winter 2009
