,Year,Duration_Minutes,Themes,Genres,Title,English,Rating,Source,Synopsis,Episodes,Premiered
2980,2004.0,23.0,Delinquents  Organized Crime  School  Workplace,Comedy  Drama  Slice of Life,Gokusen,The Gokusen,r      violence   profanity,Manga,kumiko yamaguchi is smart  enthusiastic  and ready to start her dream job as a math teacher at shirokin academy  but as her first day opens on atrocious students and cowering teachers  kumiko realizes that the all boys high school is a cesspool of delinquents with no intention of improving themselves    however  what her rowdy students don t know is that behind her dorky facade  kumiko is the acting head of a powerful yakuza clan  and she has the skills to prove it  capable of overpowering even the strongest of gangsters in seconds  kumiko must keep her incredible strength and criminal influence a secret in order to keep her job  unfortunately  with the vice principal constantly trying to get her fired and shin sawada  the leader of her class of delinquents  suspecting she s stronger than she lets on  kumiko has a difficult teaching career ahead of her     written by mal rewrite,13.0,Winter 2004
4273,2006.0,24.0,Iyashikei,Comedy  Drama  Slice of Life,Binbou Shimai Monogatari,Unknown,g   all ages,Manga,without the presence of both their deceased mother and their debt ridden father  sisters kyou and asu yamada are forced to fend for themselves  thankfully  they at least have a roof over their heads  a small room in an old apartment spacious enough to fit both of them  however  to make ends meet  the older sister kyou strives to juggle various part time jobs all while making sure that she and her younger sister can continue studying    despite these hardships  they are not alone  seemingly blessed with good and kind people around them  kyou and asu s lives are far from miserable  above all else  the two sisters share a precious bond that  no matter what pain  trials  or quarrels may come their way  will always remain unbreakable     written by mal rewrite,10.0,Summer 2006
6916,2001.0,24.0,Iyashikei  Workplace,Comedy  Drama  Slice of Life,Kokoro Toshokan,Unknown,pg   children,Manga,hidden away on a remote mountaintop  the kokoro library struggles to attract many visitors  nevertheless  it is the home of sisters iina  aruto  and kokoro  who consider it their mission to keep the library running in their parents  stead  kokoro has long dreamed of becoming a librarian at the library with the same name as her  and tries her best to keep up with her older sisters    due to the lack of patrons  the girls mainly spend their time sipping tea  chatting  and reading  however  as the number of mysterious visitors progressively increases  kokoro begins to learn about the strange history of kokoro library a place where small miracles seem to blossom     written by mal rewrite,13.0,Fall 2001
640,2004.0,25.0,Music,Comedy  Drama  Slice of Life,Beck,Beck Mongolian Chop Squad,r      violence   profanity,Manga,fourteen year old yukio  koyuki  tanaka is a dispirited young boy with no goals in life  however  this all changes when koyuki saves a strange looking dog named beck from being harassed by a group of local kids  the dog s owner    year old ryuusuke  ray  minami  is an emerging guitarist and the former member of a popular rock band     after koyuki meets ray again in a diner  the older boy leads him to his former band s meeting place and dazzles koyuki with his amazing guitar skills  slowly becoming interested in the glamour of western rock culture  koyuki decides to start playing the guitar while helping ray achieve his dream of leading the ultimate rock band  together with ray s younger sister maho and a few other members  the two boys launch their career into the world of rock by forming a band called beck  beck follows the group s struggles and successes as they spread their fame across japan     written by mal rewrite,26.0,Fall 2004
3299,2006.0,24.0,School,Comedy  Drama  Slice of Life  Ecchi,Joshikousei  Girl s High,High School Girls,pg    teens  or older,Manga,eriko and her friends yuma and ayano are excited about entering high school  their excitement leads to their breaking of the rules when they toured the school before the opening ceremony  they find out their preconceptions about the all female school may not be as true as they had first thought  despite that  eriko and her friends are joined by new friends  they aim to get through high school life together     source  ann,12.0,Spring 2006
4943,2002.0,25.0,Adult Cast  Detective  Gag Humor,Comedy  Drama  Slice of Life  Supernatural,Hanada Shounen shi,Unknown,r      violence   profanity,Manga,ichiro hanada is a hyperactive little boy who lives with his parents  sister  and grandfather in a rural town  he is always up to some kind of mischief  often teasing his sister or making rude comments to others  consequently  his mother constantly scolds him  and even the neighbours express disturbance from time to time on how rowdy he can be    one day  after pulling a terrible prank  ichiro sprints onto the streets as his mother chases him  he steals a nearby bicycle and takes on a dangerous route  eventually being hit by a truck  miraculously  he survives the crash  requiring nine stitches to the back of his head and balding for the surgery  however  the near death experience gains him the ability to see ghosts the last thing he needs in his life    since ichiro is the only one who can communicate with them  several ghosts of people who have recently died come to him  seeking help to fulfill their last wishes before achieving enlightenment  each adventure with a ghost leaves the young and curious boy with a different lesson that gradually makes him wiser     written by mal rewrite,25.0,Fall 2002
2504,2005.0,26.0,Iyashikei,Comedy  Drama  Slice of Life  Supernatural,Kamichu,Kamichu!,g   all ages,Original,yurie hitotsubashi was just an average middle school student living in the city of onomichi on japan s inland sea in the easygoing times of the  s  she spent her days worrying about exams and trying to get kenji  the clueless boy she likes  to notice her  then during lunch one day she suddenly announces to her friend mitsue that the night before she had become a goddess  their classmate matsuri quickly latches on to yurie s newfound divinity as a way to promote her family s bankrupt shinto shrine  she hopes that replacing their hapless local god  yashima sama  with yurie will make the shrine more popular  and profitable   now  with matsuri as her manager  yurie has to grant wishes  cure curses  meet aliens  and attend god conventions  all the while attending school and working up the courage to confess to kenji    the dvd bd box set includes the kamichu  specials episodes  for a complete list of episodes and the order they re included in the box set  see the more info tab,12.0,Summer 2005
741,2012.0,24.0,School,Comedy  Drama  Slice of Life  Supernatural,Little Busters,Little Busters!,pg    teens  or older,Visual novel,as a child  riki naoe shut himself from the world  thanks to a diagnosis of narcolepsy following the tragic deaths of his parents  however  riki is saved when  one fateful day  a boy named kyousuke recruits him into a team who call themselves the little busters  accompanied by masato  kengo  and rin  these misfits spend their childhood fighting evil and enjoying their youth    years pass  and even in high school  the well knit teammates remain together  kyousuke decides to re ignite the little busters by forming a baseball team as it will be his last school year with them  they have a problem though  there aren t enough members  the tables have turned  for it is now riki s turn to reach out and recruit new friends into the little busters  just like kyousuke had once done for him   then  an omen surfaces rin finds a strange letter attached to her cat  assigning them the duty of uncovering the  secret of this world  by completing specific tasks  just what is this secret  and why is it being hidden  it s up to the little busters to find out     written by mal rewrite,26.0,Fall 2012
939,2013.0,24.0,Detective  Historical,Comedy  Drama  Sports,Yowamushi Pedal,Yowamushi Pedal,pg    teens  or older,Manga,sakamichi onoda is a cheerful otaku looking to join his new school s anime club  eager to finally make some friends  unfortunately  the club has been disbanded and he takes it upon himself to revive it by finding students who are willing to join  without much luck  onoda decides to make a round trip to akihabara on his old  bulky city bicycle  a weekly   kilometer ride he has been completing since fourth grade    this is when he meets fellow first year student  shunsuke imaizumi  a determined cyclist who is using the school s steep incline for practice  surprised by onoda s ability to climb the hill with his specific type of bicycle  imaizumi challenges him to a race  with the proposition of joining the anime club should onoda win  and thus begins the young boy s first foray into the world of high school bicycle racing     written by mal rewrite,38.0,Fall 2013
3181,2021.0,23.0,School,Comedy  Drama  Sports,Skate Leading Stars,Skate-Leading Stars,pg    teens  or older,Original,child figure skating prodigy kensei maeshima abruptly quits the sport after his one sided rival  reo shinozaki  refuses to acknowledge his skill  now  as a student at inodai high school  kensei uses his athletic skills to assist the other sports teams  but he never officially joins one  one day  reo announces his switch from singles figure skating into team based skate leading and joins st  clavis gakuin high school last year s grand prix champions  hayato sasugai  a classmate with a mysterious connection to reo  convinces kensei to switch to skate leading in order to finally defeat his rival in a competition    kensei s sudden entry into the inodai skate leading club is met with backlash from the current members  although he is a very strong singles skater  kensei lacks the teamwork skills required to perform well in skate leading  factoring in his hot headed  impatient attitude  inconsistent skating performances  and a complicated history with some of the members  kensei s teammates do not believe he is a good fit to be their  lead   the team must work together to resolve these issues  however  if they wish to qualify for the grand prix finals and even stand a chance at defeating st  clavis gakuin     written by mal rewrite,12.0,Winter 2021
4385,2020.0,24.0,Team Sports,Comedy  Drama  Sports,Major nd nd Season,Unknown,pg    teens  or older,Manga,after recovering from the inner struggles he faced in the past  daigo shigeno continues to play baseball and is now the captain of fuurin private academy middle school s baseball team  alongside mutsuko sakura  his classmate from elementary school  he aims to lead the team to glory  however  due to unexpected circumstances  fuurin s baseball team is left with only six members  daigo  mutsuko  yayoi sawa  tao sagara  seira kandori  and hiromu tanba  left with mostly female players and lacking in experience  the team struggles to gain confidence and trust from the new recruits akira nishina  anita kabashima  and chisato fujii  facing challenges such as having no proper coach  problematic recruits  and a limited number of members  daigo s resolution is put to the test as he tries to bring the team together in time to participate in their first ever tournament     written by mal rewrite,25.0,Spring 2020
2494,2010.0,24.0,Team Sports,Comedy  Drama  Sports,Major S,Unknown,pg    teens  or older,Manga,the intense baseball world cup has reached its conclusion  gorou honda has regained his passion for baseball and is once again back in full gear  he has secured a team position with the hornets and has travelled back to america to prepare for his spectacular debut as a major league pitcher    however  gorou encounters a sudden series of unexpected issues and devastating events follow  crushing his motivation and potentially reducing the baseball career that he has worked tirelessly to maintain into crumbs  in the final season of major  gorou must yet again overcome immense hardship in order to save his baseball career  this time there is no simple solution  as the problem is deeply rooted within his own mind       written by mal rewrite,25.0,Spring 2010
3488,2018.0,24.0,Team Sports,Comedy  Drama  Sports,Major nd,Unknown,pg    teens  or older,Manga,daigo  the son of renowned baseball player gorou shigeno  believes he has to live up to his father s name by becoming an all star player himself  with great dreams  as soon as he reaches fourth grade  he promptly joins the same little league baseball team his dad played on  the mifune dolphins  however  things don t go as planned  after only the first couple of practices  daigo s lack of talent and inherent baseball sense shows  and his confidence is crushed  unable to bear the pressure of living up to his father  a baseball prodigy  he quits the team in less than a year    two years later  now in sixth grade  a transfer student joins daigo s class  this student turns out to be hikaru  the son of gorou s lifelong friend and fellow baseball star  toshiya satou  one day  daigo s mother receives a call from the dolphins requesting players for a game  so she forces daigo to attend  to daigo s surprise  he finds hikaru there  even more shocking is that despite his father s occupation  hikaru has never played baseball before    unlike daigo  though  hikaru immediately picks up the game demonstrating excellent performance  needless to say  daigo and hikaru are polar opposites of each other  but this friction will inevitably thrust both of these inexperienced children into the world their fathers cherish the world of baseball     written by mal rewrite,25.0,Spring 2018
1877,2004.0,25.0,Team Sports,Comedy  Drama  Sports,Major S,Unknown,pg    teens  or older,Manga,gorou honda  a little boy obsessed with baseball  has always admired his father  shigeharu  wishing to follow in his father s footsteps  gorou dreams of becoming a professional baseball player  in turn  his son s starry eyed admiration encourages shigeharu to keep persevering  despite his late wife s death and his unsatisfying position on the second string team blue ocean    unfortunately  an elbow injury forces shigeharu off the team  and he falls into despair  however  after an offhand joke from his childhood friend  shigeharu reevaluates his choices and decides to keep playing  leaving behind his prime position as pitcher and taking up the bat  now motivated more than ever  gorou works hard to carve his way in the japanese little league     written by mal rewrite,26.0,Fall 2004
5422,2018.0,23.0,Team Sports,Comedy  Drama  Sports,Gurazeni,Gurazeni Money Pitch,pg    teens  or older,Manga,this is the story of natsunosuke honda  a pro baseball player a relief pitcher who has been playing pro in a team called spiders for   years  the team operates as a highly stratified society  where the player s performance determines his annual salary  natsunosuke is one of the highest paid players in the game  he measures how good players are by how much money they make  and he intends to be on top and stay there  and as such is always looking for players to challenge and does everything to insure that he is better than they are     source  mal news,12.0,Spring 2018
2295,2006.0,25.0,Team Sports,Comedy  Drama  Sports,Major S,Unknown,pg    teens  or older,Manga,gorou honda has finally returned to mifune east junior high school  surprising his friends upon arrival  now  gorou is once again surrounded by those he holds closest  and he strives to continue playing and enjoying the game he loves most    however  things do not go as planned  as gorou is reminded of the harsh realities of baseball as he copes with an injury he sustained while playing baseball at hitaka little  between new rivals  old friends  and mending broken relationships  gorou must overcome challenges he has never faced before     his goal of attending elite baseball high school kaido may not be far from his reach  but complicated circumstances may stop him in his tracks once again  how will he deal with the immense pressures of the game  and will he ever be able to find the type of baseball he loves most     written by mal rewrite,26.0,Winter 2006
2425,2008.0,24.0,Team Sports,Comedy  Drama  Sports,Major S,Unknown,pg    teens  or older,Manga,having finished high school  gorou honda sets his sights on becoming a professional baseball player  his dreams are much more ambitious than becoming a japanese baseball league player  so he instead decides to move to the birthplace of his beloved sport  america  in order to play in the major league    however  gorou finds that the major league players are much faster  stronger  and more driven than he is  nonetheless  he is eager to catch up with them  in order to do so  gorou must first conquer the ranks of the minor league  where numerous skilled players compete in the grueling rise to the majors    gorou learns that he will have to adapt to the stark differences of american culture and push himself to new extremes as his race to join the major league begins     written by mal rewrite,26.0,Winter 2008
7874,2018.0,23.0,Team Sports,Comedy  Drama  Sports,Gurazeni Season,Unknown,pg    teens  or older,Manga,second season of gurazeni,12.0,Fall 2018
1062,2021.0,24.0,Romantic Subtext,Comedy  Drama  Supernatural,Shinigami Bocchan to Kuro Maid,The Duke of Death and His Maid,pg    teens  or older,Manga,as the elegant  frail flower petals wither away into lifeless ashes  the young duke is tragically reminded of the despicable power forced upon him the ability to kill anything he touches  scorned by his family  he is sent away to live in near isolation  fortunately  he is not entirely alone  as the manor s staff his dutiful butler rob and the flirtatious maid alice keep him company and make his life less miserable    as the duke s romantic feelings for alice grow  so does his continued frustration for the limits set by his unfortunate ability  therefore  he resolves to break the curse cast upon him all those years ago  not only for his sake  but alice s as well for he is painfully aware of how difficult it is to avoid the touch of a loved one     written by mal rewrite,12.0,Summer 2021
4049,2003.0,24.0,Time Travel,Comedy  Drama  Supernatural  Ecchi,Popotan,Unknown,r    mild nudity,Visual novel,beautiful sisters ai  mai  mii  their android maid mea and slippery pet ferret unagi make an amazing journey together through time and space without ever leaving their beloved mansion behind  following the clues of the strange dandelion like  popotan   the girls are theoretically seeking the person who has the answers to their most personal questions  but they seem to have more than enough time to take side trips  meet new friends  visit hot springs and occasionally operate the x mas shop they keep in the house along the way    yet  the girls  ultimate destiny holds more than a few surprises of its own  and not every moment is filled with hilarity  as moving through time means having to leave friends behind as well     source  rightstuf,12.0,Spring 2003
3525,2006.0,24.0,CGDCT  Gag Humor  Parody  Vampire,Comedy  Ecchi,Renkin San kyuu Magical  Pokaan,Unknown,r    mild nudity,Original,renkin san kyuu magical  pokaan follows the daily lives of four young girls  there is just one catch  they are anything but normal  this group of friends the energetic werewolf liru  the joyful witch in training uma  the motherly android aiko  and the seductive vampire pachira are actually princesses from the netherworld who have traveled to the human world in search of a new home  unfortunately  their naivety and severe lack of knowledge make living peacefully among earthlings much more difficult than they imagined     as they attempt to adapt to their brand new lifestyle  they cause all sorts of trouble  and end up attracting the unwanted attention of a woman by the name of dr  k ko  the scientist believes that these new residents of earth are up to no good and attempts to capture the girls to prove the existence of the supernatural and gain credibility with the scientific community  every day brings a new adventure as the girls deal with the insanity of her antics and all that the human realm has to offer     written by mal rewrite,12.0,Spring 2006
6952,2000.0,24.0,Detective,Comedy  Ecchi,Miami Guns,Unknown,r      violence   profanity,Manga,spoiled rich girl yao sakurakouji decides to join the miami police force to enjoy car chases  gunfights and wanton destruction  the psychotic and not too bright yao is partnered with lu amano  the soft spoken and sharp tongued daughter of the police chief  together the dirty duo clean up the streets of miami and take on a mysterious crime syndicate known only as  the organization       source  ann,13.0,Winter 2000
4707,1995.0,24.0,Gag Humor  School,Comedy  Ecchi,Ike  Ina chuu Takkyuubu,The Ping-Pong Club,r    mild nudity,Manga,when the inaho junior high ping pong club grows apathetic about an upcoming tournament  their new manager  kyoko iwashita  boosts their morale with something they cannot refuse a  sex pass   a voucher that grants the best player on the team unadulterated access to her body for a whole month  this is just one of many ways that this peculiar ping pong club exceeds the realm of normalcy    among the ping pong club s six members  maeno proves to be the most troublesome  discovering bizarre ways to distract the team each day  with the others contributing to these mischievous acts  takeda the captain of the club tries his hardest to put up with the team s antics  but when popular vice captain yuusuke kinoshita is being swept away by girls  he instead finds himself receiving support from the stern but resilient manager  kyoko    with the ever present risk of their team being dissolved  takeda and his friends find themselves having to overcome numerous obstacles  while maeno often appears to put the club in jeopardy  it is usually he who devises schemes that are just so crazy that they have a chance of working  can maeno and his ludicrous stunts help his team persevere  or will they continue to just be a nuisance to the ping pong club     written by mal rewrite,26.0,Spring 1995
223,2015.0,23.0,Gag Humor  School,Comedy  Ecchi,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,SHIMONETA A Boring World Where the Concept of Dirty Jokes Doesn't Exist,r    mild nudity,Light novel,with the introduction of strict new morality laws  japan has become a nation cleansed of all that is obscene and impure  by monitoring citizens using special devices worn around their necks  authorities have taken extreme measures to ensure that society remains chaste     in this world of sexual suppression  tanukichi okuma son of an infamous terrorist who opposed the chastity laws has just entered high school  offering his help to the student council in order to get close to president anna nishikinomiya  his childhood friend and crush  little does he know that the vice president ayame kajou has a secret identity  blue snow  a masked criminal dedicated to spreading lewd material amongst the sheltered public and tanukichi has caught the girl s interest due to his father s notoriety    soon  tanukichi is dragged into joining her organization called sox  where he is forced to spread obscene propaganda  helping to launch an assault against the government s oppressive rule  with their school set as the first point of attack  tanukichi will have to do the unthinkable when he realizes that their primary target is the person he admires most     written by mal rewrite,12.0,Summer 2015
969,2009.0,23.0,Harem  School,Comedy  Ecchi,Princess Lover,Unknown,r    mild nudity,Visual novel,following an automobile accident that claims the life of his parents  teppei arima is taken in by his grandfather and introduced to the world of the rich and the elite  compared to his humble upbringing  isshin arima s lavish lifestyle surprises and stuns the young teenager  in return for the gracious hospitality  teppei is expected to continue the family business by replacing his grandfather as the head of arima financial combine  and to prepare him for these responsibilities  he is enrolled into an esteemed high school  along with his recently acquired celebrity status and affluence  teppei is informed of an arranged marriage with the equally prosperous sylvia van hossen  thus  beginning the thrilling escapades of his new life     written by mal rewrite,12.0,Summer 2009
906,2010.0,23.0,Harem  School,Comedy  Ecchi,MM,MM!,pg    teens  or older,Light novel,taro sado is a high school student who lives his day to day life with a big secret he s a masochist  encouraged by his cross dressing best friend tatsukichi hayama  taro asks the second voluntary club for help with his problem and ends up joining the club after they vow to  fix  him    however  it turns out that all of the members of the club have some serious issues  the club leader mio isurugi is a self designated god who is afraid of cats  arashiko yuuno has a severe fear of men  and the club advisor michiru onigawara is a sadist who enjoys making people cosplay     together with other wacky characters such as yumi mamiya  a talented masseuse and yuuno s best friend  and noa hiiragi  the president of the invention club  they all learn about the importance of acceptance and kindness     written by mal rewrite,12.0,Fall 2010
6992,2004.0,14.0,Isekai  Medical,Comedy  Ecchi,Hit wo Nerae,Unknown,r    mild nudity,Original,mitsuki ikuta works for the houchiku corporation  making movies  to all who know her  she is perceived as being a very infantile woman  still wearing childish fashions  a fan of the detective movie genre  she suddenly finds herself chosen to be the main producer of a new film but it s a  hero movie   a genre generally considered childish   determined to succeed  regardless  she takes on the job     source  ann,8.0,Spring 2004
2940,2011.0,12.0,Love Polygon  Magical Sex Shift  School,Comedy  Ecchi,HenSemi  TV,Unknown,r      violence   profanity,Manga,matsutaka nanako is a normal university student  who happened to enroll in an abnormal physiology seminar  she tries to keep her mental state sound  but other abnormal classmates start to influence her personality       source  mu,13.0,Spring 2011
1445,2018.0,24.0,Magical Sex Shift  Organized Crime  Workplace,Comedy  Ecchi,Back Street Girls  Gokudolls,Back Street Girls Gokudols,r      violence   profanity,Manga,after failing their boss for the last time  yakuza members kentarou  ryou  and kazuhiko are faced with one of two choices  have their organs harvested and sold or take a trip to thailand for sex reassignment surgery and become pop idols  now  after a year of excruciating training  the three thugs have been reborn as airi  chika  and mari  debuting as the amateur idol group the goku dolls  the three strive towards becoming top idols    however  despite the hours of feminizing brainwashing they were forced to endure  the three idols have managed to keep the yakuza spirit alive in their hearts  in order to fix this  their yakuza boss hires mandarin kinoshita  a legendary manager who has never had an idol group fail under his management  with their lives now on the line  the reluctant yakuza must work with their new manager to unleash their inner cuteness and become the successful idols that their tyrannical boss can truly be proud of      written by mal rewrite,10.0,Summer 2018
8267,2006.0,24.0,Mahou Shoujo  Parody,Comedy  Ecchi,Papillon Rose,Papillon Rose,r    mild nudity,Other,the story takes place one year after the ova    because of the previous war  kabucki cho was devastated  and the owner abandoned his lingerie pub   pallion   and opened  new papillion  in akihabara  during the war  tsubomi  and her colleagues anne and shizuku lost their memories  and they began new lives in akihabara    on the other hand  the susano  aliens who were invading the earth  appeared  they turned a uma  unidentified mysterious animal  into a monster and make it raid on akihabara  rama the cat made tsubomi and her buddies retrieve their memories  and let them fight against the monster as lingerie soldiers     source  animenfo,6.0,Winter 2006
820,2019.0,12.0,Performing Arts  Romantic Subtext  School,Comedy  Ecchi,Tejina senpai,Magical Sempai,pg    teens  or older,Manga,starting his new term at tanenashi high school  an unmotivated freshman searches for a club that requires minimal participation to suit his needs  he then comes across the magic clubroom  and inside is a cute upperclassman practicing her magic tricks  suffering from stage fright that causes her to slip up in her acts  she has a tendency to end up in the most embarrassing situations  despite having little interest in a club run by an incapable magician  the freshman finds himself involved as a new member  experiencing all sorts of awkward moments with his eccentric mentor     written by mal rewrite,12.0,Summer 2019
479,2020.0,23.0,Romantic Subtext,Comedy  Ecchi,Uzaki chan wa Asobitai,Uzaki-chan Wants to Hang Out!,pg    teens  or older,Manga,at the start of her freshman year in college  hana uzaki reunites with shinichi sakurai  an upperclassman who was in the same club as her during her high school days  however  much to her surprise  the once active senior has ended up becoming a  lonesome  student  preferring to spend his free time in quiet peace    uzaki does whatever she can to keep sakurai from being  alone   from convincing him to go to the movies to going to his part time workplace  while sakurai finds her irritating and tiresome  he still goes along with uzaki s hijinks and shenanigans  even if he knows that her perky personality will only lead the two of them into various comical situations    even so  as the days pass by  their relationship only gets better  to the point where people around them misinterpret them to be a couple  at any rate  whenever uzaki wants to hang out with her upperclassman  fun and adorable wackiness is sure to follow     written by mal rewrite,12.0,Summer 2020
3736,2007.0,24.0,School,Comedy  Ecchi,Moetan,Unknown,r    mild nudity,Other,ink nijihara is a girl in high school  unfortunately her crush nao tezuka barely recognizes her  to make matters worse  she is very short  now ink meets a duck and becomes a  mahou shoujo  and teaches nao english in disguise     source  ann,12.0,Summer 2007
2163,1992.0,21.0,School,Comedy  Ecchi,Crayon Shin chan,Shin Chan,g   all ages,Manga,there is no such thing as an uneventful day in the life of kindergartener shinnosuke  shin chan  nohara  the five year old is a cut above the most troublesome  perverted  and shameless kid one can imagine  shin chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek  sumo wrestling for love  performing various gags including the notorious  elephant  in public  and flirting with college girls  the exemplary troublemaker has done it all and has no plans to stop anytime soon   crayon shin chan follows the daily shenanigans of shin chan with his group of friends  parading around as the self proclaimed  kasukabe defense force   the adults witnessing these shenanigans unfold can t help but adore shin chan  as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics leaving himself as the only problem they do not know what to do with     written by mal rewrite,,Spring 1992
3340,2008.0,23.0,School,Comedy  Ecchi,Kyou no  no   TV,Unknown,pg    teens  or older,Manga,following the line of the precedent ovas  of the same name  this anime goes around the normal lives of some elementary school   th grade   nd class room  kids and their adventures  while turning to teens  their games  stupid jokes  and the misunderstandings around their premature attraction to the opposite sex  ryota satou is the main character here  but his friends are almost as important as him since the school wouldn t be the same without them  especially the girls who the majority of time appear to be mature by their ages but in the ends they are as childish and even more  dangerous  than the boys     source  ann  edited,13.0,Fall 2008
2828,2010.0,24.0,School,Comedy  Ecchi,Chu Bra,Chu-Bra,pg    teens  or older,Manga,the story centers on nayu  a middle school girl who shocks her schoolmates on the first day of school by wearing black lace panties  she likes this kind of underwear  and she tries to  spread the word on the merits of  these kinds of  underwear  via an underwear club with her schoolmates  who are worried about their bodies  development and which underwear to choose     source  ann,12.0,Winter 2010
663,2019.0,11.0,School,Comedy  Ecchi,Nande Koko ni Sensei ga,"Why the Hell are You Here, Teacher!?",r    mild nudity,Manga,second year high school student ichirou satou has always been an average person that is  until he runs into some not so average situations with his teacher  kana  the demon  kojima  kojima is satou s japanese language teacher with a reputation for being so ruthless that even school delinquents bow down to her  one fateful day  things escalate when satou runs into kojima in the restroom  leading them to share an intimate encounter that makes his imagination run wild for days after    nande koko ni sensei ga  follows the daily life of satou and his teacher as they continue to meet under similar conditions  growing ever closer with each encounter     written by mal rewrite,12.0,Spring 2019
3140,2011.0,23.0,Strategy Game,Comedy  Ecchi,Rio  Rainbow Gate,Rio - Rainbow Gate! Reshuffle,pg    teens  or older,Other,the  howard resort hotel  is an entertainment destination where people gather from around the world to grab huge fortunes  in the casino is a beautiful female dealer named rio rollins  known far and wide as the  goddess of victory     in order to approach closer to her mother  one of history s greatest dealers  she does battle to gather up the legendary cards called  gates   those who gather all   gate cards are presented with the title mvcd  most valuable casino dealer   proof that they are a top dealer    set in a vast resort  an exciting battle begins with rival dealers that ll take your breath away  throw in some  supreme comedy  and a story that makes you cry when you least expect it  these cute and sexy girls will explode off your screen  with everyone s cheer of  leave it to rio    lady luck ll be with you  too,13.0,Winter 2011
562,2019.0,24.0,ZZZZ,Comedy  Ecchi,Dumbbell Nan Kilo Moteru,How Heavy Are the Dumbbells You Lift?,pg    teens  or older,Web manga,during a regular after school grub crawl  gluttonous high schooler hibiki sakura is confronted about her ever expanding waistline by her best friend  ayaka uehara  with her attempts at solitary exercise failing miserably  hibiki decides to join the newly opened silverman gym  at her orientation  hibiki runs into student council president and school idol akemi souryuuin    however  it soon turns out that hibiki is in for a lot more than she bargained for  not only is silverman gym full of world renowned bodybuilders and athletes  but to make matters worse  akemi turns out to be a total muscle fetishist  grossed out by the scene unfolding before her eyes  hibiki begins to leave  only to be stopped by trainer naruzou machio  completely enthralled with her newfound prince charming  hibiki signs up as a gym member  now  as a result of her spur of the moment decision  hibiki must adapt to her new lifestyle     written by mal rewrite,12.0,Summer 2019
12954,2008.0,24.0,ZZZZ,Comedy  Ecchi,Zettai Yareru Greece Shinwa,Unknown,r    mild nudity,Original,comedy show based on greek myths about how perverted the gods are,13.0,Fall 2008
8409,2001.0,23.0,Adult Cast  Workplace,Comedy  Fantasy,Parappa the Rapper,Unknown,g   all ages,Game,parappa is just your ordinary talking dog  he enjoys spending time with his friends  listening to music  and going on adventures  together with his friends  parappa gets into many strange situations  all the while learning to navigate through life  get along with his friends  and pine for the girl of his dreams  sunny funny    based on an equally quirky rhythm game  parappa the rapper boasts a unique flat style  blasts of color  and a string of strange but charming characters  among parappa s friends are an anthropomorphized blue cat  lamb  and even a flower    parappa s adventures range from the ordinary to the bizarre  he crosses paths with mischievous baddies  helps resolve questions of friendship and love  and even goes on trips through time itself  nothing can change parappa s positive outlook on life,30.0,Spring 2001
9303,2015.0,24.0,Anthropomorphic,Comedy  Fantasy,Jewelpet Magical Change,Unknown,pg   children,Original,the story follows the adventures of rabbit shaped jewelpet ruby  her long best human friend airi kirara and the other jewelpets on their mission to restore the jewel castle  which had fallen from the skies into the middle of the town because of humanity s lack of faith in magic  to restore people s belief in magic  jewelpets transform into humans to study more about them     source  ann  edited,39.0,Spring 2015
4981,2002.0,25.0,Anthropomorphic  Iyashikei,Comedy  Fantasy,Puchi Pri Yucie,Petite Princess Yucie,g   all ages,Original,despite recently turning    the otherwise ordinary yucie still has the body of a child  having stopped growing past the age of    yucie yearns to fully mature into an adult body  one day  she is chosen as a candidate for the title of  platinum princess   given once in a thousand years to whoever is worthy of the eternal tiara a mysterious crown said to grant any wish  she s not alone either  as four other candidates also compete to have their own wishes granted by the crown    as a result  yucie enrolls at the nearby princess academy in order to grow her heart and work towards becoming qualified for the eternal tiara  with her family  rivals  and even the principal of the academy there to lend a hand  will yucie s much desired wish finally come true     written by mal rewrite,26.0,Fall 2002
3285,2022.0,23.0,CGDCT,Comedy  Fantasy,RPG Fudousan,RPG Real Estate,pg    teens  or older,koma manga,in a world at peace   years after the defeat of the demon lord  a newly graduated mage named kotone kazairo moves to dali the royal capital of the kingdom of actus to begin a new chapter in her life  to find a place to settle  the   year old goes to a real estate firm called rent plan guide  rpg   there  she meets its employees  the pragmatic priest rufuria  the tomboyish warrior rakira  and the adorable demihuman fa    coincidentally  kotone is also set to work at rpg real estate and wastes no time learning about the business from her coworkers  with many housing options available to suit the varied eccentricities of its diverse customer pool  rpg real estate strives to deliver perfect matches for clients  specific needs  but it is not always an easy task  even so  kotone and her colleagues are determined to bring smiles to the faces of their patrons one home at a time     written by mal rewrite,12.0,Spring 2022
